harry
nao
rony
voce
hagrid
coisa
hermione
bem
cabeca
olhos
ter
dumbledore
vez
perguntou
vai
so
porta
agora
snape
parecia
weasley
dois
fazer
voces
potter
nada
voz
lockhart
dizer
todos
vamos
nunca
havia
alguma
tao
sr
draco
lado
quase
sabe
ainda
sala
porque
ver
grifinoria
tempo
ah
casa
enquanto
grande
sobre
onde
escola
varinha
hogwarts
viu
duda
malfoy
tudo
antes
senhor
outra
volta
tambem
rosto
deu
profa
tio
alunos
todo
noite
chao
dia
vou
valter
mione
mao
cima
fez
alto
dobby
respondeu
melhor
neville
ficou
alguem
dursley
depressa
ninguem
cara
fred
tres
hora
frente
bom
riddle
acho
dentro
sonserina
carro
sempre
jorge
gina
falar
outro
olhar
pessoas
sei
ouviu
madame
filch
pedra
prof
ano
cada
ia
quirrell
lugar
meio
percy
saiu
pouco
mesa
gritou
fazendo
talvez
exclamou
tentando
falou
comecou
direcao
claro
olhou
ar
quadribol
primeiro
dar
sra
camara
atras
ai
podia
toda
corredor
assim
livros
repente
ficar
garoto
ha
sabia
coisas
vassoura
poderia
chapeu
trouxas
sao
abriu
professor
boca
mundo
capa
embora
sido
estao
bruxo
virou
minerva
quero
vao
cabelos
vezes
aula
outros
contra
quanto
tia
deve
mal
gente
ir
maos
petunia
diario
cama
certeza
saber
menos
hoje
magia
correndo
qualquer
pai
los
pessoa
nome
bruxos
passar
tras
livro
primeira
duas
olhando
seguinte
finalmente
castelo
anos
entrar
parede
queria
caminho
lufa
mim
meia
vida
devia
tentou
vestes
quer
realmente
logo
sentiu
janela
carta
segundo
deixou
mcgonagall
voltar
forca
nariz
sorriso
sera
espelho
nenhum
sair
murta
familia
acha
bateu
parou
time
uns
instante
momento
menino
novo
tanto
passou
conseguiu
manha
pensar
minutos
sangue
quarto
durante
posso
floresta
salao
voldemort
cobra
professora
braco
rua
alta
goyle
seguida
cinco
pontos
mae
contar
demais
luz
silencio
ouviram
pes
algum
coruja
verdade
tom
levantou
pirraca
quatro
entrou
garotos
andar
apenas
murmurou
tarde
pe
enorme
caiu
fazia
dando
olivio
continuou
deixar
rubeo
boa
favor
secreta
ouvir
baixo
aconteceu
wood
todas
ideia
pensou
ergueu
encontrar
fogo
professores
crabbe
voltou
atencao
diante
alguns
escada
desde
banheiro
continuava
disso
dez
chegar
naquele
puxou
velho
mesma
corpo
tornou
teto
dificil
slytherin
escuro
historia
poder
falando
pudesse
nick
sim
fim
chegou
costas
parte
pena
maior
trem
horas
pareceu
armario
vira
razao
olhe
pernas
tirou
amigos
pocao
pais
feitico
muita
dizendo
feito
dragao
modo
jogo
pareciam
oculos
granger
canino
trevas
cheio
sentou
entrada
comprar
perto
balaco
desapareceu
contou
levou
cair
parar
achou
preciso
jeito
ponta
conseguia
grandes
ultima
colin
esperando
certo
trasgo
parecendo
caso
pomfrey
apanhou
sairam
biblioteca
agarrou
matar
aranhas
comunal
pocoes
sob
exatamente
natal
palavras
medo
cartas
paredes
lareira
ombro
umas
longe
campo
pensando
bruxas
sorte
mulher
aulas
mamae
justino
correu
guarda
testa
andando
vista
expressao
tentar
ficaram
homem
cadeira
dedos
feiticos
entraram
forte
caldeirao
ra
vassouras
procurando
principal
acrescentou
encontrou
verde
amigo
ouvi
berrou
raiva
nervoso
canto
